CustomerID,Lookalikes
C0001,"[('C0011', 1.0), ('C0191', 1.0), ('C0069', 1.0)]"
C0002,"[('C0029', 1.0), ('C0083', 1.0), ('C0025', 1.0)]"
C0003,"[('C0031', 1.0), ('C0142', 1.0), ('C0025', 1.0)]"
C0004,"[('C0162', 1.0), ('C0017', 1.0), ('C0047', 1.0)]"
C0005,"[('C0167', 1.0), ('C0131', 1.0), ('C0120', 1.0)]"
C0006,"[('C0079', 1.0), ('C0117', 1.0), ('C0146', 1.0)]"
C0007,"[('C0005', 1.0), ('C0061', 1.0), ('C0167', 1.0)]"
C0008,"[('C0147', 1.0), ('C0075', 1.0), ('C0084', 1.0)]"
C0009,"[('C0168', 1.0), ('C0196', 1.0), ('C0158', 1.0)]"
C0010,"[('C0077', 1.0), ('C0032', 1.0), ('C0134', 1.0)]"
C0011,"[('C0069', 1.0), ('C0149', 1.0), ('C0001', 1.0)]"
C0012,"[('C0041', 1.0), ('C0194', 1.0), ('C0143', 1.0)]"
C0013,"[('C0082', 1.0), ('C0155', 1.0), ('C0051', 1.0)]"
C0014,"[('C0110', 1.0), ('C0020', 1.0), ('C0080', 1.0)]"
C0015,"[('C0063', 1.0), ('C0128', 1.0), ('C0198', 1.0)]"
C0016,"[('C0096', 1.0), ('C0187', 1.0), ('C0103', 1.0)]"
C0017,"[('C0004', 1.0), ('C0113', 1.0), ('C0098', 1.0)]"
C0018,"[('C0056', 1.0), ('C0191', 1.0), ('C0001', 1.0)]"
C0019,"[('C0124', 1.0), ('C0119', 1.0), ('C0034', 1.0)]"
C0020,"[('C0080', 1.0), ('C0150', 1.0), ('C0130', 1.0)]"
